variant,backend,positive_class_weight,threshold_policy,split,best_iteration,training_seconds,inference_seconds,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,aupr,specificity,benign_fpr,attack_fnr,true_negative,false_positive,false_negative,true_positive
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_1_percent,strict_temporal_test,471,310.54714526099997,35.43273344499903,9.334388335114423e-05,0.9278003525297042,0.8448316235421538,0.9330926879302522,0.7028800673584111,0.801788720776506,0.7700968116480291,0.8626074352654836,0.8133260540146457,0.9867831797258965,0.013216820274103553,0.29711993264158887,759752,10176,59990,141915
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_0_1_percent,internal_holdout,471,310.54714526099997,35.43273344499903,0.0027430359067979904,0.9992512238999178,0.9994940959274274,0.9970717605572378,0.9999875029680451,0.9985275032444844,0.9980273858528091,0.9999980840699988,0.9999941507471762,0.9990006888868099,0.0009993111131900562,1.2497031954910708e-05,469854,470,2,160036
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_0_1_percent,official_validation,471,310.54714526099997,35.43273344499903,0.0027430359067979904,0.9486397529568975,0.5083807570818434,0.2714390422672856,0.019500465132606674,0.036386860118560245,0.061070040369315425,0.5107331041791764,0.07006923927742396,0.99726104903108,0.002738950968919979,0.9804995348673933,1085756,2982,55862,1111
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_0_1_percent,strict_temporal_test,471,310.54714526099997,35.43273344499903,0.0027430359067979904,0.875227533948734,0.7013649943228468,0.989048306307836,0.4039028255862906,0.5735727498435071,0.5863617784815582,0.8626074352654836,0.8133260540146457,0.998827163059403,0.0011728369405970428,0.5960971744137095,769025,903,120355,81550
full_weight,gpu_opencl,2.9388244556623686,maximum_internal_f1,internal_holdout,471,300.84109316800095,31.7609287030009,0.723178427894294,0.9997683870537881,0.9997994423050612,0.9992256775321594,0.999862532648496,0.9995440036479708,0.9993888658025789,0.9999980655698617,0.9999941023662782,0.9997363519616265,0.00026364803837354675,0.0001374673515040178,470200,124,22,160016
full_weight,gpu_opencl,2.9388244556623686,maximum_internal_f1,official_validation,471,300.84109316800095,31.7609287030009,0.723178427894294,0.9501610790155632,0.5025360703012386,0.4148936170212766,0.0054762782370596595,0.010809874404504115,0.04305103837009853,0.5197916196661224,0.07083957322030769,0.9995958623654175,0.0004041376345824248,0.9945237217629403,1088298,440,56661,312
full_weight,gpu_opencl,2.9388244556623686,maximum_internal_f1,strict_temporal_test,471,300.84109316800095,31.7609287030009,0.723178427894294,0.7920753874379651,0.4999489559701298,0.13452914798206278,0.00014858473044253485,0.0002968416053194016,-0.0027344823482248724,0.8612712873259301,0.8121370237656255,0.999749327209817,0.00025067279018297815,0.9998514152695575,769735,193,201875,30
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_1_percent,internal_holdout,471,300.84109316800095,31.7609287030009,8.10214782192996e-05,0.992537621239859,0.9949971308852743,0.9714519849459755,0.9999937514840226,0.9855162603378308,0.9806782165961743,0.9999980655698617,0.9999941023662782,0.9900005102865259,0.009999489713474115,6.248515977455354e-06,465621,4703,1,160037
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_1_percent,official_validation,471,300.84109316800095,31.7609287030009,8.10214782192996e-05,0.9370775003469461,0.5191886091799169,0.146808709466405,0.05514893019500465,0.08017862838915471,0.06161688011553979,0.5197916196661224,0.07083957322030769,0.9832282881648293,0.01677171183517063,0.9448510698049953,1070478,18260,53831,3142
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_1_percent,strict_temporal_test,471,300.84109316800095,31.7609287030009,8.10214782192996e-05,0.9278415118646928,0.8447808659634736,0.9335776846288997,0.7026720487357916,0.8018323009449745,0.7702392796663791,0.8612712873259301,0.8121370237656255,0.9868896831911556,0.013110316808844464,0.2973279512642084,759834,10094,60032,141873
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_0_1_percent,internal_holdout,471,300.84109316800095,31.7609287030009,0.0029608806864998075,0.9992607422401731,0.999500474509001,0.9971090342679128,0.9999875029680451,0.9985461942109828,0.9980524130483569,0.9999980655698617,0.9999941023662782,0.999013446049957,0.000986553950042949,1.2497031954910708e-05,469860,464,2,160036
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_0_1_percent,official_validation,471,300.84109316800095,31.7609287030009,0.0029608806864998075,0.9486807755184335,0.5082609554322007,0.2726819541375872,0.01920207817738227,0.035877674838074934,0.06079953212076032,0.5197916196661224,0.07083957322030769,0.9973198326870193,0.002680167312980717,0.9807979218226177,1085820,2918,55879,1094
full_weight,gpu_opencl,2.9388244556623686,fpr_at_most_0_1_percent,strict_temporal_test,471,300.84109316800095,31.7609287030009,0.0029608806864998075,0.8747120132780015,0.6998941097227872,0.9904895960832313,0.4007974047200416,0.5706740008109871,0.5845075258663454,0.8612712873259301,0.8121370237656255,0.9989908147255327,0.001009185274467223,0.5992025952799584,769151,777,120982,80923
